id,name,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count
86092,"Lovely, spacious  garden apartment.",472474,Amy  Gabriella,"",Hammersmith and Fulham,London,51.48699,-0.19826,Entire home/apt,"£125,00",90,1
87514,Gorgeous Spacious Bloomsbury Studio,352607,Andrea,"",Camden,London,51.52509,-0.1144,Entire home/apt,"£99,00",171,1
87827,ChiqDoube Room in PrivateAppartment,479209,Paullus,"",Westminster,London,51.51106,-0.18922,Private room,"£150,00",0,1
88032,Wimbledon Luxury Home Twin Room,481587,Angela,"",Wandsworth,London,51.44593,-0.20608,Private room,"£60,00",38,2
89094,Friendly flat share,485803,Pearline,"",Greenwich,London,51.48209,0.07248,Shared room,"£37,00",0,1
89787,1 bed apt 30 mins from Windsor castle,488175,Dominic,"",Hounslow,London,51.44749,-0.43186,Entire home/apt,"£55,00",2,1
89816,9: Next to Charing cross station,488602,Harumi,"",Westminster,London,51.50776,-0.12334,Entire home/apt,"£231,00",52,2
89870,London Holiday Flat Let-Islington,54730,Alina,"",Islington,London,51.56822,-0.11266,Entire home/apt,"£149,00",85,2
90522,Luxury  Room In S.W London,490714,Melinda And Tony,"",Croydon,London,51.41297,-0.11367,Private room,"£40,00",9,2
90549,"Central, Luxury & Large Ensuite Canary Wharf",490830,Daniel,"",Tower Hamlets,London,51.49798,-0.01325,Private room,"£75,00",106,1
90663,11: Heart of London - Charing Cross,488602,Harumi,"",Westminster,London,51.5078,-0.1226,Entire home/apt,"£231,00",17,2
90681,Beautiful Attic suite balcony views,491199,Gillian,"",Lewisham,London,51.44762,-0.05716,Private room,"£55,00",64,1
90700,Sunny Notting Hill flat & terrace,491286,Chil,"",Kensington and Chelsea,London,51.51074,-0.19853,Entire home/apt,"£105,00",339,2
92399,"MODERN SELF CONTAINED ARCHITECT FLATLET, ISLINGTON",497366,Andrea & Mark,"",Islington,London,51.55071,-0.08547,Private room,"£77,00",207,2
92644,Twin room,498201,Deirdre,"",Wandsworth,London,51.44004,-0.18755,Private room,"£42,00",177,1
93015,2 bed West Kensington apartment,499704,Sarah,"",Hammersmith and Fulham,London,51.50178,-0.21627,Entire home/apt,"£180,00",23,1
93263,2 Bed 2 Bath Wimbledon Apartment,500558,William,"",Merton,London,51.41562,-0.19489,Entire home/apt,"£125,00",24,4
93500,LUXURY DOUBLE ROOM CLAPHAM(ZONE 2),501399,Gabriele,"",Lambeth,London,51.46441,-0.12669,Private room,"£54,00",41,1
93779,"Big, modern flat in East London",502491,Julie,"",Tower Hamlets,London,51.52687,-0.06347,Entire home/apt,"£220,00",17,2
93783,Shown on T.V! Notting Hill Oasis,502496,Darshi Rowan And Tara,"",Westminster,London,51.51826,-0.19499,Entire home/apt,"£300,00",15,2
94138,Lovely east London ground floor apartment,503548,Carl And Christie,"",Tower Hamlets,London,51.52807,-0.05133,Entire home/apt,"£70,00",37,1
96008,Light airy double bedroom for rent,510424,Dionne,"",Lambeth,London,51.43923,-0.10421,Private room,"£80,00",0,1
96052,*CENTRAL* modern and clean double room in Zone 2,448154,Aneta,"",Brent,London,51.55786,-0.2263,Private room,"£45,00",69,2
96640,Double room in lovely modern flat,512757,Lucy,"",Hackney,London,51.57204,-0.08339,Private room,"£100,00",0,1
97178,North Kensington – Balcony Room,510439,Sallyjo,"",Hammersmith and Fulham,London,51.52099,-0.22852,Private room,"£49,00",276,1
97506,Lovely Victorian Room Streatham,497537,Keith,"",Lambeth,London,51.42875,-0.12056,Private room,"£35,00",33,1
97583,CLOSE CITY CENTRE WELCOMING AND BRIGHT ROOM,516216,Caroline,"",Haringey,London,51.60796,-0.12551,Private room,"£39,00",78,3
97974,Large bedroom with 1 double bed,517799,Sue & Jon,"",Richmond upon Thames,London,51.46587,-0.23632,Private room,"£75,00",91,1
98271,Fab Double Room in Central Ealing,518852,Paulo,"",Ealing,London,51.5139,-0.29568,Private room,"£50,00",5,1
98541,Gorgeous Victorian Flat LONDON,519891,Alicja,"",Haringey,London,51.57419,-0.13958,Entire home/apt,"£88,00",32,1
98750,FLAT in FULHAM/CHELSEA/KINGS ROAD,520642,Zata,"",Hammersmith and Fulham,London,51.47845,-0.19328,Entire home/apt,"£120,00",64,2
98776,Single room; friendly house; East London,134606,Cryn,"",Newham,London,51.53454,0.02706,Private room,"£27,00",105,1
99241,The Portobello Room - Notting Hill,522802,The Portobello Room,"",Kensington and Chelsea,London,51.509,-0.19948,Private room,"£99,00",124,1
99333,Roof Garden Oasis 10 Minutes From  Kings Cross,523246,Francesca,"",Islington,London,51.5468,-0.10667,Entire home/apt,"£118,00",64,2
100326,"LGE single Victorian room, Clapton",527471,Cecile & Adam,"",Hackney,London,51.56485,-0.05612,Private room,"£33,00",109,1
100479,DBL rm near Trendy Shoreth\Brick La,506748,Mireya,"",Tower Hamlets,London,51.52715,-0.05594,Private room,"£55,00",4,1
101083,FANTASTIC MODERN STUDIO IN ZONE 1 CENTRAL LONDON,530117,Robert,"",Lambeth,London,51.47828,-0.12944,Entire home/apt,"£85,00",79,1
102391,Hackney Central - East London Charming House for 6,535247,Angus Brown And Nelly,"",Hackney,London,51.54647,-0.05664,Entire home/apt,"£140,00",27,3
102565,South Bank Bijou Studio Flat,536025,Anne,"",Lambeth,London,51.50615,-0.1078,Private room,"£95,00",332,1
103682,Relaxing dbl/tripple close to centre/Olympic Park,540340,Rachel,"",Tower Hamlets,London,51.5333,-0.03032,Private room,"£60,00",61,3
103865,Double Room Ensuite Garden Room,492218,Richard,"",Hammersmith and Fulham,London,51.48815,-0.22315,Private room,"£78,00",0,1
106332,"Lovely large room, Bethnal Green",264345,Susie,"",Tower Hamlets,London,51.5296,-0.05364,Private room,"£55,00",65,1
107048,A Luxury Studio Suite in Clerkenwell,259088,Simon,"",Islington,London,51.52407,-0.10554,Private room,"£130,00",472,4
107051,JESSIE the narrowboat in Little Venice,554519,Meg,"",Westminster,London,51.52116,-0.18359,Entire home/apt,"£160,00",442,1
108529,"PRIVATE APARTMENT: Light, Fresh and Central",561650,Robert,"",Southwark,London,51.47259,-0.08872,Private room,"£70,00",392,1
108562,stanza a londra,561772,Marina,"",Islington,London,51.56804,-0.11204,Private room,"£30,00",7,2
109226,Lovely two bedroom Islington home.,564310,James,"",Islington,London,51.54089,-0.089,Entire home/apt,"£250,00",5,1
109299,Trendy Dalston 2BR/2BA En-Suite/Balcony/Gym/Train,261091,Nina,"",Hackney,London,51.54599,-0.07426,Entire home/apt,"£125,00",3,2
111255,Charming Victorian House in zone 2,570238,Michael,"",Southwark,London,51.47561,-0.05988,Private room,"£60,00",1,1
116268,DOUBLE ROOM  NEAR CENTRAL LONDON - 1 guest only,586671,Joe,"",Enfield,London,51.61308,-0.11829,Private room,"£25,00",20,1
117203,A stylish original Victorian home in West London,255103,Olga,"",Hammersmith and Fulham,London,51.50067,-0.23288,Entire home/apt,"£115,00",55,1
118805,Theatreland Central London,599899,Richie,"",Camden,London,51.51643,-0.12111,Private room,"£60,00",224,1
123522,Penthouse Flat w/Roof Terrace near Little Venice,617199,Monica,"",Westminster,London,51.52575,-0.19782,Entire home/apt,"£99,00",5,1
127652,Contemporary central London apt,134938,Ron,"",Camden,London,51.5573,-0.14269,Entire home/apt,"£120,00",198,1
127860,Double bedroom in cottage Twickenham (sleeps 1-2),161720,Andy,"",Richmond upon Thames,London,51.44715,-0.33925,Private room,"£1000,00",0,1
128581,Huge room w/ ensuite and own balcony + v central,502491,Julie,"",Tower Hamlets,London,51.52618,-0.06273,Private room,"£75,00",18,2
129768,"Smart Two Bed Apartment, Abbey Rd!",639749,Farzam,"",Westminster,London,51.53323,-0.17848,Entire home/apt,"£135,00",19,2
131444,1 bedroom apartment close to centre,646165,Yevgeniy,"",Lambeth,London,51.48974,-0.11116,Entire home/apt,"£90,00",116,1
137581,I Bedroom Apartment Tower of London,471088,Anthony,"",City of London,London,51.51173,-0.07659,Entire home/apt,"£130,00",213,2
137907,"Elegant Very Central: Fitzrovia W1. King Bed, Wifi",67564,Liz,"",Westminster,London,51.52092,-0.14119,Entire home/apt,"£153,00",52,15
138800,"Limehouse London, Spacious Property",677494,Denise,"",Tower Hamlets,London,51.51411,-0.0412,Private room,"£50,00",53,1
139142,Beautiful 1 bed flat with terrace,678760,Andrew,"",Islington,London,51.55719,-0.12932,Entire home/apt,"£70,00",101,1
140518,SPACIOUS DOUBLE WITH PRIVATE BATH,684352,Gina,"",Barnet,London,51.60155,-0.1886,Private room,"£46,00",32,2
142117,"Stylish & Bright, 1 Bed, Shoreditch",192627,Clare,"",Hackney,London,51.52902,-0.08944,Private room,"£140,00",83,1
143028,House & Garden Nr SW London,694198,Yasmin,"",Merton,London,51.40269,-0.19177,Entire home/apt,"£125,00",3,2
143478,"Large room, London Fields, Hackney",696065,Tania,"",Hackney,London,51.53961,-0.0561,Private room,"£45,00",23,6
143568,This one's got a gym and sauna!,598337,Dejan,"",Newham,London,51.53058,-0.01203,Entire home/apt,"£65,00",44,3
145612,"West London-W7, Hanwell (Area Ealing) Room",704495,Nina,"",Ealing,London,51.50549,-0.33443,Private room,"£25,00",96,2
147244,ST. GEORGE WHARF 2 BED 2 BATH APT. IN VAUXHALL,54987,Prateek,"",Lambeth,London,51.48493,-0.12475,Entire home/apt,"£166,00",27,64
147802,Nice 2 double& 1single room in central area,690924,Yuanjung,"",Southwark,London,51.49166,-0.06371,Private room,"£37,00",8,1
150900,"Double room, breathtaking views",726717,Tatu,"",Kensington and Chelsea,London,51.48203,-0.18168,Private room,"£58,00",45,2
152863,Spacious London garden apartment,735248,Jamie,"",Haringey,London,51.58462,-0.14677,Entire home/apt,"£99,00",6,1
154221,great location absolutely central,211018,Sylvia,"",Westminster,London,51.48831,-0.13829,Entire home/apt,"£83,00",1,1
156966,Lovely Double Room in Cosy House,655421,Kathryn,"",Southwark,London,51.48795,-0.10001,Private room,"£40,00",161,2
157227,Trendy Dalston 1BR Bath/Balcony/Gym,261091,Nina,"",Hackney,London,51.54632,-0.07488,Entire home/apt,"£105,00",26,2
157536,"Quiet double room, with friendly, experienced host",214945,Matthew,"",Southwark,London,51.4865,-0.08778,Private room,"£52,00",189,2
157714,"West London,loft ensuite, 5min2tube",757377,Eilinn,"",Hammersmith and Fulham,London,51.48847,-0.22097,Private room,"£45,00",150,1
158939,Charming Garden Apartment | London,762736,Lydia,"",Lewisham,London,51.47013,-0.04266,Entire home/apt,"£110,00",83,5
159736,A double Room 5mins from King's College Hospital,766056,Trevor,"",Lambeth,London,51.46832,-0.10103,Private room,"£30,00",78,4
159787,Quiet home close to St Pancras,766222,Keith,"",Islington,London,51.55269,-0.11961,Private room,"£45,00",140,1
