id,name,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count
293951,SUNLIT BONDI HOLIDAY PAD,1520375,Carrie,"",Waverley,Sydney,"-33,8898000","151,2703921",Entire home/apt,"$249,00",1,1
295480,Sydney OlympicPark Green Comfy Home,1526109,Andrew,"",Auburn,Sydney,"-33,8317000","151,0642147",Private room,"$84,00",121,2
297633,Bushwalkers - near Gt North Walk,1540160,Linda,"",Hornsby,Sydney,"-33,6936000","151,0999088",Private room,"$60,00",16,2
299749,Beachy Art Deco Apartment near Manly & 11k to CBD,1544990,Lucy,"",Manly,Sydney,"-33,7949000","151,2596320",Entire home/apt,"$150,00",7,2
300024,"Cosy room, great ocean view, 5 min to the beach",1547751,Valentine,"",Randwick,Sydney,"-33,9232000","151,2504896",Private room,"$109,00",11,2
304762,"Bondi Beach - bright, happy, haven",540270,Monica,"",Waverley,Sydney,"-33,8933000","151,2718121",Entire home/apt,"$150,00",13,1
304835,Darlinghurst Studio: Sky Oasis,209719,Angelique,"",Sydney,Sydney,"-33,8766000","151,2172640",Entire home/apt,"$122,00",288,1
307028,Newport Beach B&B With Great View,355522,Dennis,"",Pittwater,Sydney,"-33,6487000","151,3199610",Private room,"$161,00",142,3
310414,Relax on the Terrace of a Darlinghurst Home,1596677,David,"",Sydney,Sydney,"-33,8819000","151,2176569",Private room,"$150,00",104,1
315059,Stylish Home In Great Location,1288103,Anna,"",Sydney,Sydney,"-33,8816000","151,2156349",Private room,"$82,00",39,2
318095,Hideaway in Sydney's North Shore,1636534,Carol,"",Ku-Ring-Gai,Sydney,"-33,7793000","151,1635108",Private room,"$122,00",16,1
318591,"Executive 3 BDRM House, Glebe Point",1634967,Kathy,"",Sydney,Sydney,"-33,8774000","151,1792597",Entire home/apt,"$350,00",71,1
322296,Writers' Retreat opp Opera House,369440,Felicity,"",North Sydney,Sydney,"-33,8523000","151,2184160",Entire home/apt,"$145,00",54,2
324918,"Erskineville art house, terrace in heart of Sydney",1596898,Gretchen,"",Sydney,Sydney,"-33,8987000","151,1841018",Entire home/apt,"$251,00",6,1
329096,Funky Victorian Terrace in Newtown,1437903,Ruth,"",Marrickville,Sydney,"-33,8966000","151,1729594",Entire home/apt,"$199,00",1,1
330547,Large room Sydney harbour views,1686302,Pierre,"",Canada Bay,Sydney,"-33,8524000","151,1595500",Private room,"$73,00",31,2
332960,270° Iconic Sydney Harbour View Balcony Room,1756420,Sydney Harbour,"",Sydney,Sydney,"-33,8679000","151,1907400",Private room,"$108,00",24,3
333002,270° Iconic Sydney Harbour View King Room,1756420,Sydney Harbour,"",Sydney,Sydney,"-33,8656000","151,1899679",Private room,"$115,00",19,3
334817,The eclectic Pacific in Balmain,891380,Miss V,"",Leichhardt,Sydney,"-33,8583000","151,1861810",Entire home/apt,"$285,00",71,1
340563,Resort Style minutes from the City,1727971,Gregory,"",North Sydney,Sydney,"-33,8371000","151,1965886",Private room,"$119,00",6,1
341640,Beachside bungalow incredible views,1733351,Tommy,"",Waverley,Sydney,"-33,8981000","151,2722482",Entire home/apt,"$999,00",10,2
348891,Ruby's Oasis on Bondi Beach! Hear the waves!,201611,Deborah,"",Waverley,Sydney,"-33,8896000","151,2740612",Entire home/apt,"$150,00",22,10
352147,"Sydneys garden suburb, bright & SC",1783493,Michelle,"",The Hills Shire,Sydney,"-33,7628000","151,0131650",Private room,"$80,00",19,1
355773,Townhouse in heart of Sydney/Dlg Hrbr/Chinatown,27184,Rebecca,"",Sydney,Sydney,"-33,8817000","151,1953896",Entire home/apt,"$419,00",88,1
360141,Massive Warehouse Loft Apartment,1821747,Scott,"",Marrickville,Sydney,"-33,9188000","151,1526026",Entire home/apt,"$130,00",133,2
361899,Serendipity in the Suburbs,1829259,Martha,"",Hornsby,Sydney,"-33,7349000","151,0740013",Private room,"$75,00",35,2
361912,Serendipity in the Suburbs,1829259,Martha,"",Hornsby,Sydney,"-33,7355000","151,0751879",Private room,"$80,00",9,2
363237,"1br, Parking, WiFi, Garden",1835730,Mina,"",Ashfield,Sydney,"-33,8890000","151,1395287",Entire home/apt,"$84,00",3,1
363282,Lux pad in Potts Point,1835060,Sarah,"",Sydney,Sydney,"-33,8711000","151,2239813",Entire home/apt,"$251,00",61,1
365953,En suite room in gorgeous house!,1827246,Jen,"",Mosman,Sydney,"-33,8233000","151,2367872",Private room,"$145,00",6,1
366856,Bondi Studio - FAB DECOR AND STYLE,1852102,Ann And Mad,"",Waverley,Sydney,"-33,8931000","151,2625808",Entire home/apt,"$174,00",94,3
366857,Studio 8-  in the Heart of Bondi,1852102,Ann And Mad,"",Waverley,Sydney,"-33,8930000","151,2627657",Entire home/apt,"$140,00",72,3
368282,Lovely spacious 3 bedroom home,1859504,Deborah,"",Marrickville,Sydney,"-33,8974000","151,1423450",Entire home/apt,"$289,00",5,1
368513,the best of Sydney's Shipwright Bay,1860248,Vic And  Lori,"",City Of Kogarah,Sydney,"-33,9971000","151,1157298",Entire home/apt,"$168,00",45,1
374069,Quiet Location Near Universities!,1882142,Paul,"",Sydney,Sydney,"-33,8867000","151,1978144",Private room,"$84,00",129,1
