id,name,host_id,host_name,neighbourhood,neighbourhood_group,city,room_type,price,usd,number_of_reviews,calculated_host_listings_count,availability_365,tipo disponibilidad,tipo host
371532,"Fantastic Location. Great apartment, Opera",1871034,Olga,Palacio,Centro,Madrid,Entire home/apt,"80,00 €","$92,80",78,1,180,Disponibilidad media,particular
375472,Host family in the center of Madrid,1888816,Margarita,Acacias,Arganzuela,Madrid,Private room,"19,00 €","$22,04",148,4,16,Disponibilidad baja,profesional
376379,Great Studio for Rent in Madrid,1892467,Laura,Embajadores,Centro,Madrid,Entire home/apt,"42,00 €","$48,72",19,2,258,Disponibilidad alta,particular
377151,private house in elegant neiborhood,1895571,Lola,Fuente del Berro,Salamanca,Madrid,Private room,"30,00 €","$34,80",30,2,0,Disponibilidad baja,particular
391795,Quiet room in a terraced house,1958516,Almu Y Santi,Entrevías,Puente de Vallecas,Madrid,Private room,"35,00 €","$40,60",13,2,365,Disponibilidad alta,particular
396532,"Apart. 25mts from Gran Via,exterior",1981346,Daniel,Sol,Centro,Madrid,Entire home/apt,"88,00 €","$102,08",119,1,48,Disponibilidad baja,particular
406341,"Quiet downtown Madrid, nearby all",2024487,Fernando,Lista,Salamanca,Madrid,Private room,"25,00 €","$29,00",125,1,296,Disponibilidad alta,particular
406697,Lovely & Cozy Apartment Center,1973909,Jose Y Ana,Cortes,Centro,Madrid,Entire home/apt,"56,00 €","$64,96",383,1,0,Disponibilidad baja,particular
410699,80m2 spacious bright loft apartment,2044655,Sylvia,Sol,Centro,Madrid,Entire home/apt,"140,00 €","$162,40",153,5,193,Disponibilidad alta,profesional
415967,LAVAPIES CLASSY (CENTER TOWN),2068619,Alfonso,Embajadores,Centro,Madrid,Entire home/apt,"58,00 €","$67,28",152,1,150,Disponibilidad media,particular
416705,Quiet room in a two level house,1958516,Almu Y Santi,Entrevías,Puente de Vallecas,Madrid,Private room,"30,00 €","$34,80",66,2,351,Disponibilidad alta,particular
420039,Bonito estudio en pleno centro,9934732,Fernando Javier,Universidad,Centro,Madrid,Entire home/apt,"57,00 €","$66,12",648,5,244,Disponibilidad alta,profesional
423655,Tribunal Apartment,1719263,Leticia,Justicia,Centro,Madrid,Entire home/apt,"100,00 €","$116,00",2,1,269,Disponibilidad alta,particular
427407,study sol-atocha I,2106353,Reyes,Embajadores,Centro,Madrid,Entire home/apt,"65,00 €","$75,40",7,2,323,Disponibilidad alta,particular
429306,Vintage and Scandi Chic at an Historic Central Madrid Home,2134007,Lola,Arapiles,Chamberí,Madrid,Entire home/apt,"103,00 €","$119,48",182,2,264,Disponibilidad alta,particular
429604,sol-atocha II study,2106353,Reyes,Cortes,Centro,Madrid,Entire home/apt,"65,00 €","$75,40",2,2,306,Disponibilidad alta,particular
431806,CHARMING SUITE IN MADRID'S LEDGE,2146727,Carlos,Casa de Campo,Moncloa - Aravaca,Madrid,Private room,"30,00 €","$34,80",102,4,322,Disponibilidad alta,profesional
439715,Chueca Secret Apartment,2184106,Pedro,Justicia,Centro,Madrid,Entire home/apt,"100,00 €","$116,00",13,1,365,Disponibilidad alta,particular
440596,Quiet Central Apartment with WiFi,1280726,Mallory,Trafalgar,Chamberí,Madrid,Entire home/apt,"30,00 €","$34,80",7,1,0,Disponibilidad baja,particular
442986,madrid center chueca house wiffi,2201302,Cesar,Justicia,Centro,Madrid,Entire home/apt,"96,00 €","$111,36",18,1,363,Disponibilidad alta,particular
444113,Pretty room,2206218,Tomas,Lucero,Latina,Madrid,Private room,"25,00 €","$29,00",0,1,365,Disponibilidad alta,particular
449218,"Central, fully equipped, best price",2230279,Marina,Justicia,Centro,Madrid,Entire home/apt,"49,00 €","$56,84",287,1,197,Disponibilidad alta,particular
456165,Nice room in Madrid,617086,Agata,Comillas,Carabanchel,Madrid,Private room,"30,00 €","$34,80",7,1,0,Disponibilidad baja,particular
460898,Wide and nice apartment in Madrid,2290984,Artur,La Paz,Fuencarral - El Pardo,Madrid,Private room,"15,00 €","$17,40",0,1,362,Disponibilidad alta,particular
462072,Spectacular Penthouse 95 m² Latina,2296476,Jose Manuel,Palacio,Centro,Madrid,Entire home/apt,"121,00 €","$140,36",62,1,196,Disponibilidad alta,particular
464307,"LOVELY SUNNY, DOWNTOWN, 2 BR APT.",2307294,Lua & Carlos,Universidad,Centro,Madrid,Entire home/apt,"85,00 €","$98,60",60,1,104,Disponibilidad media,particular
467552,DESIGN PENTHOUSE ALONSO MARTINEZ!,2320165,Fernando,Almagro,Chamberí,Madrid,Entire home/apt,"72,00 €","$83,52",33,1,158,Disponibilidad media,particular
