id;name;host_id;host_name;neighbourhood_group;neighbourhood;city;room_type;price;usd;minimum_nights;number_of_reviews;calculated_host_listings_count;availability_365;tipo disponibilidad;tipo host
6512114;Quiet, practical and convenient;27776303;Laura;-;DERGANO;Milán;Entire home/apt;38;44,08;15;7;1;0;Disponibilidad baja;particular
6512471;Porta Venezia;34049762;Salvatore;-;GRECO;Milán;Private room;300;348;1;0;6;365;Disponibilidad alta;profesional
6515471;Spacious apartment- M3 Corvetto;9889675;Ornella;-;LODI - CORVETTO;Milán;Entire home/apt;80;92,8;2;18;1;0;Disponibilidad baja;particular
6515602;fantastic double room;34069567;Salvatore;-;NIGUARDA - CA' GRANDA;Milán;Private room;80;92,8;1;0;1;90;Disponibilidad baja;particular
6517624;Trilocale, tranquillo e servito;5680578;Alessandro;-;CITTA' STUDI;Milán;Entire home/apt;60;69,6;365;8;1;365;Disponibilidad alta;particular
6520494;expo, stadium, park, all very close;34101108;Rossella;-;TRENNO;Milán;Private room;70;81,2;5;14;1;26;Disponibilidad baja;particular
6521744;Monolocale arredato - Milano centro;17866021;Brunella;-;BRERA;Milán;Entire home/apt;66;76,56;2;4;1;364;Disponibilidad alta;particular
6522892;Brera, MM2 Moscova, Corso Como apt.;21176643;Cristina;-;GARIBALDI REPUBBLICA;Milán;Entire home/apt;500;580;1;15;2;283;Disponibilidad alta;particular
6522911;Nice apartment close to city centre;19563374;Tommaso;-;BANDE NERE;Milán;Entire home/apt;60;69,6;2;28;1;363;Disponibilidad alta;particular
6523718;Navigli Studio Apt. w/ Loft;274101;Tina;-;NAVIGLI;Milán;Entire home/apt;85;98,6;1;5;1;365;Disponibilidad alta;particular
6524234;Brand new flat next to metro statn;21029885;Jole;-;DE ANGELI - MONTE ROSA;Milán;Entire home/apt;63;73,08;2;5;4;290;Disponibilidad alta;profesional
6526319;BRERA SUITE a design home in Milan;31060372;Daniela;-;BRERA;Milán;Entire home/apt;128;148,48;2;157;2;163;Disponibilidad media;particular
6530842;Mila Comfort Quiet Modern Navigli;25338787;Nicola;-;NAVIGLI;Milán;Entire home/apt;122;141,52;1;97;8;54;Disponibilidad baja;profesional
6531994;Affittasi Loft in zona EXPO 2015;34163116;Daniele;-;VILLAPIZZONE;Milán;Entire home/apt;80;92,8;7;0;1;358;Disponibilidad alta;particular
6535929;Cozy BnB in Milan center, Bocconi 2;30822214;Martino Luca;-;PORTA ROMANA;Milán;Private room;35;40,6;5;113;2;130;Disponibilidad media;particular
6537530;Flat in center of Milan (Isola);34187287;Alexander;-;ISOLA;Milán;Entire home/apt;44;51,04;5;272;1;283;Disponibilidad alta;particular
